MÚSICA,ARTISTA,URI,REGIÃO
A Roça Venceu,['Antony & Gabriel'],45vmdvdyhA8zTffT9TqB6M,CURITIBA
Paradigmas,['Jorge & Mateus'],158ukl5rih76dOEsp0I91H,CURITIBA
Chave do Caminhão - Ao Vivo,['Léo & Raphael'],402OAo7HqfBRlekvQ3zpzs,CURITIBA
MEGAFUNK UM SABADÃO DESSE UMA LUA DESSA,['NobruDJ'],5Gkbjcqzv5O0g6NhAKT5rQ,CURITIBA
Coração Na Cama,['Hugo & Guilherme'],2nZj5YymF54qhAu7RneVP6,CURITIBA
Buzina - Ao Vivo,['Diego & Victor Hugo'],0yOYdil5IO9tW7wraM9C3r,CURITIBA
Esquece de Me Esquecer,"['Zé Felipe', 'Gusttavo Lima']",1NXeltgzjQeiC4hbf2XNVr,CURITIBA
Você Não é de Bar - Ao Vivo,"['Fernando & Sorocaba', 'Guilherme & Benuto']",5KFEB8X5Xmpmsv5j8rHjML,CURITIBA
Último Beijo,"['Bruno & Marrone', 'Wesley Safadão']",2pBEAodCImE4LgbKAG4bfz,CURITIBA
Troca de Calçada,['Marília Mendonça'],4AAIAVjSyiq1N7SXKkwXZe,CURITIBA
Camisa Preta,['Guilherme & Benuto'],29Ctas4IXYei0t9fGnnxgU,CURITIBA
Super Ex - Ao Vivo,['Gusttavo Lima'],4sCgnIAtZWlMfY7h4h8dI0,CURITIBA
Só de Sacanagem - Ao Vivo,['Israel & Rodolffo'],40zJaB3z53PGaxIkYyieBP,CURITIBA
Esses Vícios,['Zé Neto & Cristiano'],2InUVOBY515umeuwdQtsQ4,CURITIBA
Ilusão (Cracolândia),"['MC Hariel', 'Alok', 'MC Ryan SP']",6WXglvTFRmjlHHhgjYMNif,CURITIBA
Ex de Alguém - Ao Vivo,['Rayane & Rafaela'],1RgGlhBrccCM63CjvfXaR7,CURITIBA
Ô Moça,['MC Zaquin'],1mQOFRDoqI34LdN79PE0vH,CURITIBA
Amor ou o Litrão - Brega Funk,"['Mila', 'Petter Ferraz', 'Menor Nico']",4WcskbAX3wImaennFI79Ll,CURITIBA
MODO TURBO,"['Luísa Sonza', 'Pabllo Vittar']",0YqTL3nSL36OFdHwHoqCag,CURITIBA
Golpe Trocado,['Mc Frog'],0nGOQOcurYXEWKcWi2ZrQo,CURITIBA
Razão das Minhas Biritas,['Luíza & Maurílio'],3qqfukkcLElVkOWFyzHmSk,CURITIBA
Cali Dreams (feat. The Beach),"['Vintage Culture', 'Fancy Inc', 'The Beach']",4S5uBAB6Jl4IsMzwBpt2Rf,CURITIBA
Da Cama Pro Coração,"['Ciro Netto e Manuel', 'Guilherme & Benuto']",7lc3EORoGIEpQmZPMeoQKg,CURITIBA
Volta Marcada,"['Avine Vinny', 'Japinha Conde']",75CS36Nn8aetRR5eksZMbB,CURITIBA
Mega Funk - Summer Set 2020,['DJ Philipe Sestrem'],4p7pfUKJZeBm601bOmVjB0,CURITIBA
4G,['Max e Luan'],0Xyai3VqkT2sujXvF58zDQ,CURITIBA
Amor da Despedida,"['Os Barões Da Pisadinha', 'Fernando & Sorocaba']",0WlmiIK5qFQ4dAB4mCA4sI,CURITIBA
Camisa do Grêmio,"['MC Meno K', 'DJ Neeh']",2rXIj8SkYrAWQ4Dn2oiupk,CURITIBA
Na Ponta do Pé 2,['Mc Livinho'],6G5z2fh5MfVErDCsJJKNwv,CURITIBA
MUSA DO INVERNO,['Lagum'],4dyAtcaBVmMmnR5bwg3u50,CURITIBA
MEGA FUNK - BATIDA DE SC,['DJ Bratti SC'],0IyrulKusSMDtMgfdw71Rv,CURITIBA
Vaquinha,['Luccas & Leonardo'],6PAgEnGbbFcP4J6SosqEHS,CURITIBA
Deixa de Onda (Porra Nenhuma),"['DENNIS', 'Xamã', 'Ludmilla']",0DlHQxrVijRqVUfuS6PKaY,CURITIBA
Rainha da Favela,['Ludmilla'],3vu864xi5Xis9VfOsJpmXu,CURITIBA
LARISSA,"['PEDRO SAMPAIO', 'Luan']",1wowgtxmcxyIDGkQ8S28gL,CURITIBA
Tudo Indica (feat. Jorge & Mateus) - Ao Vivo,['Marcos & Belutti'],0eoMMLrWtXbLk64baeESkc,CURITIBA
"Ele É Ele, Eu Sou Eu",['Wesley Safadão'],7EWXP47VlXKO3r7mNxuWHw,CURITIBA
Bebe e Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo),"['Turma do Pagode', 'Grupo Menos É Mais']",5A4DlgM68SnFSKImnMeiUH,CURITIBA
Privilégio,"['MC Luan da BS', 'Mc Vitin do LJ', 'MC Marley']",2ASs0n7ukfyxAxDtdir4vF,CURITIBA
Vou Valendo - Ao Vivo,['George Henrique & Rodrigo'],4OujRBkm3MgW8GzdGkefbW,CURITIBA
Vai Tomando Foguenta,['MC Yuri'],3SwHWvT7Uze9CqI5LJowv5,CURITIBA
Crédito,['João Gustavo e Murilo'],75XkdiDbE77G7avTZnEDLB,CURITIBA
Separei,"['MC WM', 'Niack', ""MC's Jhowzinho & Kadinho""]",16uUeKOV7m51Vlx9oUIEvE,CURITIBA
Ponta Solta,['Maiara & Maraisa'],1dSA6OgpgpMpvJJbPbYADU,CURITIBA
Mtg - Vem Sentando Vem (feat. Dj Nbeat) - Remix,"['MC 2jhow', 'MC Fahah', 'Mc Rennan']",2Xgc216OMnc9PyUalpaSPc,CURITIBA
Vou Revelar,['Atitude 67'],78hoT53X4ucU9BO5f9hznY,CURITIBA
Um Brinde pra Nós,"['Hungria Hip Hop', 'Mc Lipi', 'Dj GM']",2B7EEPMfJWOG7VWpCkBtZy,CURITIBA
Oclin e Evoque,"['Tropa do Bruxo', 'Djonga', 'MC Rick']",3PnDIGbfmswMaxX386zp3X,CURITIBA
Isca,"['Jonas Esticado', 'Wesley Safadão']",5zdIuIo9uQ2E8ly4rypcRi,CURITIBA
M4,['Teto'],07AQkmp456NpEnT8HR7WLy,CURITIBA
Meia Noite (Você tem meu Whatsapp),['Tarcísio do Acordeon'],6sPBi0qLI6KM3yXX56NxsA,CURITIBA
Um Dia de Você e Eu,"['Montenegro', 'Jorge']",6nif74PCtvUn1DA9CEmHCp,CURITIBA
Rendição,['Abba Musica'],7bLvxmRkZlFKQcPIVQIefm,CURITIBA
Festa Linda,['MC Kapela'],1KRMUEKZOh0x8GsaWBn339,CURITIBA
Para Raio - Ao Vivo,['Diego & Arnaldo'],4DrqASok6iWYIhkPxrw7u9,CURITIBA
Amor ou o Litrão,"['Petter Ferraz', 'Menor Nico']",7qmnP8Woc47dLSrMD5MxL1,CURITIBA
Acertou na Mosca,['Tierry'],0SlCt3S4bEGUPo07yZIlQP,CURITIBA
Ménage,"['MC JottaPê', 'Tainá Costa', 'POCAH']",7LAqIzg7r71bmfGzviayG3,CURITIBA
Liberdade (Quando o Grave Bate Forte),"['Alok', 'Mc Don Juan', 'Dj GBR']",2QLbRVzixE282JSQjBz2DG,CURITIBA
Faz a Pose,"['MC Teteu', 'MC Ks', 'Dj Serpinha']",1sTVKLLFDfAfowsG4bRBN4,CURITIBA
Mega Funk Isso é Fluxo,['Fluxo Produções'],3JOk6d68KxLW9hQeicycr1,CURITIBA
Marca de Batom - Ao Vivo,['André Luiz & Gustavo'],2277cHOe26axpDb8AifqIr,CURITIBA
Escolhe,['João Gabriel'],72HFjOzjkXnOc37fAlmXNB,CURITIBA
Possessiva,['Melim'],0VHeOC6yTULbu4hEm5q6sH,CURITIBA
Esquema Preferido,['DJ Ivis'],27X3qzgB0Show6qfw5wNOK,CURITIBA
Louco e Sonhador,['MC Neguinho do Kaxeta'],6hdBsNsVESpjbnVClbUa3y,CURITIBA
Mega Funk Alô Ambev,['DJ Ghost Floripa'],4GZcYFGhljREyHHzW3DCVX,CURITIBA
É Só Botada,"['MC Levin', 'Caverinha']",07c9lzwx1IIm101PnB4BZu,CURITIBA
Amor de Balada,"['MC Kekel', 'Mc Don Juan']",774NkezhwRr3kvYd3IQvFj,CURITIBA
Quem Ama Bloqueia,['MC Rick'],5PaS0Kb9u2zhDGeKOUGvXG,CURITIBA
Chuck Berry,['Black Alien'],23fd5EB9vHXNxDQQxikpEF,CURITIBA
O Tempo Não Espera Ninguém,['Michel Teló'],5Gq1J4Vi18CuaqC5y3ICEZ,CURITIBA
Morena,"['MC Paulin da Capital', 'Dj GM']",2W0VenqvlMW4c65YsxT5zu,CURITIBA
Natalia,['Enzo Rabelo'],2Dk23qo2rzJlO8mlKWsbbd,CURITIBA
Made In Coração - Ao Vivo,['Matheus Gabriel'],1Y336S16A8sj8OwGCYmXKh,CURITIBA
Como Se Tá Maravilhosa,"['Mc Lipi', 'Mc Dricka']",0eLCuW89pb6I3BC0NMGHFW,CURITIBA
Paraíso da Revoada,"['MC Ryan SP', 'Dj Gabriel do Borel']",15PW92VF2PYTODv1sHgXpD,CURITIBA
Prints,['Gabi Martins'],7x9kGxiyFxQjMZYbzw1yMx,CURITIBA
Poesia Acústica 10: Recomeçar,['Various Artists'],4pwFy4YPNGMxK2P2FfQfvt,CURITIBA
Oh My God,"['Edy Lemond', 'Dj Guuga', 'DJ Lucas Beat']",0lxmZ4evzbuphwYIj8Kqr0,CURITIBA
Até Na Transa Você Não Larga o Lança,"['Mc Kitinho', 'MC Luiggi', 'Mc Yago']",00I29V4jIc7hAifIn1mtnb,CURITIBA
Nossa História,"['WC no Beat', 'MC Paulin da Capital', 'Costa Gold']",29GcD1l8nZVGPHj4l4UHB0,CURITIBA
Adorei,['Grupo Menos É Mais'],6rfNbeEGCh8M5AAj879g0r,CURITIBA
Não Me Negue,['Allana Macedo'],67I9GYwgsDUPiyzlgd6XSz,CURITIBA
Cuidado Que Eu Te Supero,['Yasmin Santos'],5J4tK2FbXQEeC0AsfFgwpz,CURITIBA
Só Tapão Nervoso Vs Toma Catucada Violenta,['DJ DN'],2BEGTomoM88uGMOzRmZirl,CURITIBA
